Date,Open,High,Low,Close,Adj Close,Volume,Sector
2014-04-21,659.969970703125,666.47998046875,658.8900146484375,666.47998046875,666.47998046875,0.0,Healthcare
2014-04-22,668.1500244140625,676.8900146484375,668.1500244140625,673.3900146484375,673.3900146484375,0.0,Healthcare
2014-04-23,673.9199829101562,674.2899780273438,667.9299926757812,670.1199951171875,670.1199951171875,0.0,Healthcare
2014-04-24,671.1599731445312,671.6699829101562,662.9600219726562,668.7999877929688,668.7999877929688,0.0,Healthcare
2014-04-25,668.4600219726562,668.8800048828125,662.5800170898438,663.8800048828125,663.8800048828125,0.0,Healthcare
2014-04-28,665.1699829101562,672.4299926757812,659.5,667.8599853515625,667.8599853515625,0.0,Healthcare
2014-04-29,669.2100219726562,672.469970703125,667.5999755859375,671.97998046875,671.97998046875,0.0,Healthcare
2014-04-30,669.510009765625,673.5800170898438,668.8599853515625,672.9500122070312,672.9500122070312,0.0,Healthcare
2014-05-01,673.3499755859375,677.8499755859375,668.8599853515625,674.010009765625,674.010009765625,0.0,Healthcare
2014-05-02,674.72998046875,674.72998046875,667.030029296875,668.8400268554688,668.8400268554688,0.0,Healthcare
2014-05-05,666.8699951171875,672.8300170898438,662.25,672.5700073242188,672.5700073242188,0.0,Healthcare
2014-05-06,671.780029296875,671.97998046875,666.4400024414062,666.47998046875,666.47998046875,0.0,Healthcare
2014-05-07,667.010009765625,668.260009765625,659.5399780273438,668.010009765625,668.010009765625,0.0,Healthcare
2014-05-08,667.3300170898438,671.9000244140625,662.7100219726562,664.47998046875,664.47998046875,0.0,Healthcare
2014-05-09,664.260009765625,669.0900268554688,660.47998046875,668.3499755859375,668.3499755859375,0.0,Healthcare
2014-05-12,669.4099731445312,675.6799926757812,669.4099731445312,675.2899780273438,675.2899780273438,0.0,Healthcare
2014-05-13,675.6500244140625,678.510009765625,675.469970703125,676.3400268554688,676.3400268554688,0.0,Healthcare
2014-05-14,675.9400024414062,678.6199951171875,674.0999755859375,676.5700073242188,676.5700073242188,0.0,Healthcare
2014-05-15,675.8800048828125,675.8800048828125,666.7899780273438,669.5999755859375,669.5999755859375,0.0,Healthcare
2014-05-16,669.8900146484375,672.6400146484375,666.97998046875,671.9299926757812,671.9299926757812,0.0,Healthcare
2014-05-19,670.9500122070312,676.6199951171875,670.5499877929688,676.25,676.25,0.0,Healthcare
2014-05-20,676.22998046875,676.3300170898438,670.0700073242188,672.0399780273438,672.0399780273438,0.0,Healthcare
2014-05-21,672.7899780273438,678.1900024414062,672.7899780273438,677.3699951171875,677.3699951171875,0.0,Healthcare
2014-05-22,677.4600219726562,683.2999877929688,675.3599853515625,680.780029296875,680.780029296875,0.0,Healthcare
2014-05-23,680.739990234375,682.5,679.1099853515625,681.3300170898438,681.3300170898438,0.0,Healthcare
2014-05-27,683.0499877929688,685.4199829101562,681.4600219726562,685.1699829101562,685.1699829101562,0.0,Healthcare
2014-05-28,685.3499755859375,686.3599853515625,683.2100219726562,683.260009765625,683.260009765625,0.0,Healthcare
2014-05-29,683.8400268554688,688.4500122070312,683.8400268554688,688.4500122070312,688.4500122070312,0.0,Healthcare
2014-05-30,688.3200073242188,690.6099853515625,687.1099853515625,690.239990234375,690.239990234375,0.0,Healthcare
2014-06-02,690.5800170898438,691.6099853515625,686.22998046875,691.4000244140625,691.4000244140625,0.0,Healthcare
2014-06-03,690.469970703125,692.969970703125,689.3900146484375,692.7100219726562,692.7100219726562,0.0,Healthcare
2014-06-04,692.02001953125,694.4299926757812,690.25,694.2999877929688,694.2999877929688,0.0,Healthcare
2014-06-05,694.4600219726562,697.4299926757812,690.52001953125,695.4000244140625,695.4000244140625,0.0,Healthcare
2014-06-06,696.5599975585938,696.77001953125,693.3499755859375,694.7000122070312,694.7000122070312,0.0,Healthcare
2014-06-09,694.0399780273438,694.0399780273438,689.6599731445312,691.3400268554688,691.3400268554688,0.0,Healthcare
2014-06-10,690.5399780273438,692.8400268554688,686.77001953125,692.8300170898438,692.8300170898438,0.0,Healthcare
2014-06-11,692.0499877929688,693.5800170898438,690.4600219726562,692.469970703125,692.469970703125,0.0,Healthcare
2014-06-12,691.739990234375,691.8400268554688,687.0599975585938,688.5800170898438,688.5800170898438,0.0,Healthcare
2014-06-13,689.22998046875,689.4199829101562,686.22998046875,688.4400024414062,688.4400024414062,0.0,Healthcare
